conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1906720514250527226,Mon Mar 31 23:58:49 +0000 2025,0,@Heraloebss @KAI121 Wow kreatif tanpa bbm tanpa listrik tanpa batere ada weselnya lagi.,1906858756333604915,,Heraloebss,in,,0,0,0,https://x.com/Bavanala4/status/1906858756333604915,1229777178419589120,Bavanala4
1906692986659799365,Mon Mar 31 23:56:05 +0000 2025,0,@razkaws @tanyarlfes P itu ping Dulu banyak dipake karena shortcut BlackBerry Messenger (BBM) untuk ngeping/ngebuzz dengan hanya ketik p atau P lalu enter bakalan auto jadi PING!! Buat trigger notif ke lawan bicaranya Emosi boleh tp tolong cari tau dulu please jauh bgt jadi pel*r ‍️,1906858067465302045,,razkaws,in,,0,3,0,https://x.com/txtdarisyel/status/1906858067465302045,1560133257819475969,txtdarisyel
1906692986659799365,Mon Mar 31 23:55:52 +0000 2025,0,@pengeajian @adnanaers @tanyarlfes Ya dipake jamet yg nganggep masih pake bbm,1906858013761409307,,pengeajian,in,Riva del Garda,0,0,0,https://x.com/jindanjune/status/1906858013761409307,99042163,jindanjune
1906857115886723203,Mon Mar 31 23:52:18 +0000 2025,0,@PPNSumbagut @pertamina @elnusa_official Foto jalanan hancur akibat Armada BBM PERTAMINA DEPOT LABUHAN DELI SUMUT https://t.co/JPwDsNwF56,1906857115886723203,https://pbs.twimg.com/media/GnaEb7RbkAA8SuJ.jpg,PPNSumbagut,in,"Belawan port Sumut, Indonesia",0,0,0,https://x.com/Rush_BU/status/1906857115886723203,263051842,Rush_BU
1906856391161360584,Mon Mar 31 23:49:25 +0000 2025,0,Yg mencetuskan p ini siapa ajg kalo ngikut bbm kaga ad pantek cuma p ,1906856391161360584,,,in,,0,0,0,https://x.com/apclypsex/status/1906856391161360584,1438117258614566925,apclypsex
1899464712670400630,Mon Mar 31 23:47:48 +0000 2025,0,@NalarPolitik_ Info dr warung kopi kejaksaan sepertinya ada ancaman dr Oligarki utk seret para mafia BBM Pertalite diduga uang hasil oplos pertamina digunakan utk pilpres 2024 dugaan keterlibatan Mulyono Pranowo tercium pantas jaksa berhenti pd pejabat pertamina takut mati ya,1906855984200610000,,NalarPolitik_,in,,0,0,0,https://x.com/nagaborjong123/status/1906855984200610000,1886776381390118912,nagaborjong123
1906321734778622139,Mon Mar 31 23:44:22 +0000 2025,0,@Matt_Pinner Satan,1906855119989182970,,Matt_Pinner,in,Saban Field at Bryant-Denny ,0,0,0,https://x.com/bbm010/status/1906855119989182970,36963595,bbm010
1906550461462970463,Mon Mar 31 23:40:25 +0000 2025,0,@ANCALERTS bakit si Sarah lang bakit ang OP ni bbm ilabas na rin para makita natin saka sayo ms Castro ilabas na rin,1906854125322862920,,ANCALERTS,tl,,0,0,0,https://x.com/RemonSolim72914/status/1906854125322862920,1880196431631544320,RemonSolim72914
1906027274094497890,Mon Mar 31 23:37:32 +0000 2025,0,@infobdg Gak ngaruh ah mau diturunin juga. Secara gak langsung udh ngasih makan koruptor2 di pershn BUMN (Pertamina dan anak cabangnya). Ingat Dirut yang pertama Pertamina aja udh korup (Ibnu Sutowo kakek mertua Dian Sastro). Saya mending beli BBM di Ovo (Revo 92) atau di BBM Shell.,1906853396566720698,,infobdg,in,,0,0,0,https://x.com/GinaNisrin5866/status/1906853396566720698,1823608562058452993,GinaNisrin5866
1906852525871169737,Mon Mar 31 23:34:04 +0000 2025,0,FPRRD v. BBM = Kadiliman v. Kasamaan,1906852525871169737,,,in,safaraway,0,0,0,https://x.com/yllaelyse/status/1906852525871169737,1848050206883069952,yllaelyse
1906849219778073082,Mon Mar 31 23:20:56 +0000 2025,2,Di luar kesopanan rada penasaran kenapa orang memulai chat P duluan ya? Feeling gue gen z hari ini udah gak pake P ya karena menurut gua P ini budaya era BBM lah gt. Atau ada?,1906849219778073082,,,in,age 25 ⬆,1,4,0,https://x.com/racikan_twt/status/1906849219778073082,899845389800546304,racikan_twt
1906692986659799365,Mon Mar 31 23:18:43 +0000 2025,0,@tanyarlfes Jadi inget jaman BBM harusnya kalo ga di bales spam P terus-terusan wkwk,1906848665228189847,,tanyarlfes,in,,0,0,0,https://x.com/Thinktwicebruh/status/1906848665228189847,581641661,Thinktwicebruh
1906692986659799365,Mon Mar 31 23:15:14 +0000 2025,1,@aldinos15743531 @tanyarlfes P mah awal dari kata Ping di bbm. dari milenial yg pake ginian kocak,1906847784659251575,,aldinos15743531,in,,0,0,0,https://x.com/fuoshyguro/status/1906847784659251575,1844428475786235904,fuoshyguro
1906821412998066436,Mon Mar 31 23:14:45 +0000 2025,0,@sekarflo ya kan dulu sms kita sering kejar kejaran karakter kl lebih kepotong dan bayar lagi kebawa text di bbm chat online. nyoba-nyoba pake angka jg ga kaak? ,1906847663313850623,,sekarflo,in,,0,0,0,https://x.com/OmijaHwachae/status/1906847663313850623,574035796,OmijaHwachae
1906700886040338501,Mon Mar 31 22:45:39 +0000 2025,0,@InfoJktCom Mudik tenang BBM aman semua berkat Pertamina yang selalu siaga!,1906840340830806162,,InfoJktCom,in,"Denpasar Selatan, Indonesia",0,0,0,https://x.com/remoenco/status/1906840340830806162,1734698792950124544,remoenco
1906700886040338501,Mon Mar 31 22:45:23 +0000 2025,0,@InfoJktCom Terima kasih Pertamina sudah memastikan BBM selalu tersedia di jalur mudik!,1906840273231179786,,InfoJktCom,in,"Tanah Abang, Indonesia",0,0,0,https://x.com/crewshiplads/status/1906840273231179786,453342195,crewshiplads
1906699868628005223,Mon Mar 31 22:44:17 +0000 2025,0,@LahrianSyahilla BBM tersedia kapan saja bikin Lebaran makin nyaman. Terima kasih Pertamina!,1906839997602484239,,LahrianSyahilla,in,"Denpasar Selatan, Indonesia",0,0,0,https://x.com/Agatamukmin/status/1906839997602484239,1790537170265993217,Agatamukmin
1906699803070710012,Mon Mar 31 22:43:03 +0000 2025,0,@Seputar_Energi_ Lebaran tenang BBM aman! Mantap Pertamina tetap beroperasi 24 jam.,1906839685399470396,,Seputar_Energi_,in,"Gambir, Indonesia",0,0,0,https://x.com/coldestzayne/status/1906839685399470396,471417976,coldestzayne
1906658995626279149,Mon Mar 31 22:42:36 +0000 2025,1,@kelapa_muda22 @tham878 Ya ya berhasil sekali sampai banyak lapangan pekerjaan. Negara aman tenteram tidak ada bbm oplosan IKN berhasil dibangun megah dll. Kita hidup makmur. Hidup Jokowi ,1906839574263091603,,kelapa_muda22,in,,0,0,0,https://x.com/jimnyAslidik/status/1906839574263091603,1765230382352564224,jimnyAslidik
1906658995626279149,Mon Mar 31 22:28:31 +0000 2025,3,@tham878 Tahun ini bbm tidak naik (zonk) Gak akan nambah utang luar negri (zonk) Mobil esemka (zonk) Kereta cepat ga pakai APBN (zonk) Dll dst Ijazah udah ga relevan lagi buat dibahas wong empunya hobi ngibul,1906836030059401382,,tham878,in,,1,0,0,https://x.com/Nemathelm/status/1906836030059401382,1831637869284536320,Nemathelm
1906692986659799365,Mon Mar 31 22:28:22 +0000 2025,0,@adnanaers @tanyarlfes eh aku pake bbm juga kok dulu wkwkwk cuma maksudnya tu P ini tuh agak kekmana gitu kalo dipake diselain bbm,1906835994222940393,,adnanaers,in,ba sing se,0,1,0,https://x.com/pengeajian/status/1906835994222940393,1066207647450333185,pengeajian
1906506500907905438,Mon Mar 31 22:26:47 +0000 2025,0,@HELL0SITI @blank0429 Perkara PPh dihapus bilang terbaik. Liat noh harga sembako listrik BBM BPJS,1906835592341795041,,HELL0SITI,in,"Kota Malang, Jawa Timur",0,0,0,https://x.com/being_humblee/status/1906835592341795041,1760500641875824640,being_humblee
1906700886040338501,Mon Mar 31 22:16:17 +0000 2025,0,@InfoJktCom Mantap deh min dan support trs sih kl hal2 gini krn memang mudik itu ta kdg ketemu macet pas BBM hbs panik bgt loh mana pas lg gk boleh masuk ke rest area nah motoris ini bkln membantu sekali ,1906832953281519817,,InfoJktCom,in,"Lampung, Indonesia",0,0,0,https://x.com/TetiYus/status/1906832953281519817,735135128863662080,TetiYus
1906832481657274833,Mon Mar 31 22:14:25 +0000 2025,0,assalamualaikum joker ketum pssi sama mbah rara gajadi pulkam gara efesiensi katanya bbm dioplos kayu bakar padahal yg diatas ga mikirin korupsi sejahtera hidup damai asal ga kalah kalo maen ps punya duit nyusahin semut mati matian keinjek eh situ malah seneng punya baju baru,1906832481657274833,,,in,,0,0,0,https://x.com/hhhyeuuup/status/1906832481657274833,1245138142224515073,hhhyeuuup
1906700886040338501,Mon Mar 31 22:03:51 +0000 2025,0,@InfoJktCom Mantap jd pemudik tetap merasa aman ya kl pas ketemu macet panjang dan kebetulan kehabisan BBM bs bgt minta bantuan ke motoris,1906829823856779296,,InfoJktCom,in,,0,0,0,https://x.com/AgusBosnya/status/1906829823856779296,1317304940612644864,AgusBosnya
1906819475917189175,Mon Mar 31 22:01:57 +0000 2025,5,@babymetaltube 5 Lukas a BBM solos tipo Momo/Moa tipo LIAB y solo suzuka https://t.co/pymcU9MRfC,1906829343722000681,https://pbs.twimg.com/tweet_video_thumb/GnZrLTlXwAEGkOw.jpg,babymetaltube,in,"Bogotá, D.C., Colombia 🏴",0,0,0,https://x.com/Vegan_Zeit/status/1906829343722000681,266880445,Vegan_Zeit
1906602569608131058,Mon Mar 31 21:48:21 +0000 2025,0,@MeesEinne @xi_mr5 Welga sa mga napatay na adik? Teh bobohan mo pa! Pag kumontra sa inyo maka BBM na? Lawak lawakan namn ang pag iisip teh ng di napaghahalatang bobo! Ang bobobo nyo bwahahahah,1906825921644101876,,MeesEinne,tl,"San Francisco, CA",0,0,0,https://x.com/enorytNJ/status/1906825921644101876,899341376965533697,enorytNJ
1906727973950259627,Mon Mar 31 15:38:16 +0000 2025,1,@KuntoAjiW Mungkin BBM atau sembako.,1906732785504817339,,KuntoAjiW,in,,0,0,0,https://x.com/fajarnugros/status/1906732785504817339,36321448,fajarnugros
1906731969930723536,Mon Mar 31 15:35:01 +0000 2025,5,Aipda Ariyanto Personel Polsek Serengan Polresta Surakarta Berbagi Bahan Bakar Minyak kepada seorang ibu yang kehabisan BBM di Jalan Slamet Riyadi perempatan Ngarsopuro Solo @polrestasurakarta https://t.co/ulUecKjMvC,1906731969930723536,https://pbs.twimg.com/ext_tw_video_thumb/1906731930567266304/pu/img/jnLlYYrk1qBjhlUv.jpg,,in,"Kota Yogyakarta, Yogyakarta",0,0,0,https://x.com/ini_polisi/status/1906731969930723536,3313271803,ini_polisi
